Gender,Age Group,Educational Degree Level,Major,Most Active Platform,Account Type,Type of Content,Number of Posts Created,Avg Time Spent on Platform (min/day),Number of Likes Given,Number of Likes Received,Number of Comments Made,Number of Comments Received,Number of Shares,Number of Followers,Number of Accounts Followed,Engagement Rate (%),Income in USD,Number of Views,Amount Invested in Advertising (USD)
Other,46-51,None,Social Sciences,TikTok,Other,Handmade Craft,117,124.87739600216459,203,270,43,55,36,1751.871878788334,317.38321784180346,96.08761351199334,19627.080070849646,4992,1669.7951689227068
Male,20-26,High School,Engineering,Facebook,Non-Profit,Animation,111,184.8367254949939,203,253,52,54,28,1345.773192707065,294.21896803646075,87.28878499603157,39946.50728696386,5122,1896.643485281304
Other,20-26,MD,Arts,Instagram,Business,Travel,95,101.47538531524816,180,245,45,63,24,2014.8262054197598,190.79717666636284,52.50532078015666,17185.74031398215,5052,2764.3002689639316
Other,46-51,PhD,Other,Other,Personal,Other,88,117.76758529703892,212,265,41,84,23,836.745253132763,536.5675711271373,54.56960755331153,20255.694930424157,4989,1372.2613562612546
Male,51+,Bachelor,Other,Instagram,Business,Handmade Craft,104,61.10669371685293,231,254,52,72,26,1911.101191392666,405.5501912232549,28.088693660966292,20431.698127351374,5041,1393.4617039058521
Male,34-38,Bachelor,Other,TikTok,Business,Art-Drawing,93,154.81979666402916,219,267,65,61,31,1842.29687676094,352.7209165928422,46.28028781590837,25028.64749046615,5073,3088.95601946278
Other,27-33,High School,Social Sciences,Facebook,Personal,Educational,83,96.03443096812259,221,233,53,60,28,1873.3461718235008,259.4751354715596,94.68388821751473,8696.134426248515,4968,916.7607387942849
Female,51+,None,Other,YouTube,Personal,Educational,100,151.71410306402788,194,242,51,58,30,1648.2308206498242,290.820600539702,72.69409439386563,8926.721872873088,5038,3015.8448669839886
Other,46-51,High School,Arts,Twitter,Other,Other,118,148.56090394311903,214,256,49,73,32,1173.3757396003034,182.8465674779771,1.1876990741532922,38145.92819779397,4972,2008.688129171637
Other,39-45,MD,Engineering,Facebook,Other,Handmade Craft,109,190.47297776363337,189,235,44,58,25,1795.9959104592458,346.99388800528595,11.650678182274099,38316.69540025981,4941,1221.8372653168221
Other,13-19,MD,Social Sciences,Other,Personal,Other,116,139.47826729593635,184,252,51,57,32,1292.189410016039,333.6184059166093,92.38112699578551,34660.25448012502,4930,903.9274909087351
Other,27-33,PhD,Engineering,Instagram,Influencer,Educational,112,109.31740127039674,197,229,42,56,26,1602.619076894798,279.3443077441254,84.87193289276142,50627.84434224339,5001,1813.1861834482213
Male,27-33,PhD,Social Sciences,Other,Other,Animation,92,133.60868879991276,192,221,51,56,40,1136.0502806729414,302.99154251312933,48.61644657483969,16766.72621606041,5031,2652.627756032852
Other,20-26,MD,Engineering,Other,Influencer,Handmade Craft,94,97.22241456514237,193,260,57,57,26,1327.5543039721233,270.14770841938196,61.697828086725856,4120.783662699974,4973,1986.2806247547353
Female,27-33,MD,Science,TikTok,Personal,Singing,89,129.57480532526728,198,253,40,61,42,1428.3754918479399,250.5866091544358,28.96460103807249,41779.60705671893,5010,2917.3054947334094
Male,46-51,MD,Engineering,TikTok,Other,Animation,98,113.97292483372883,223,282,47,60,29,1699.8619521994706,222.36126281065825,79.2830752100424,3795.1324650296447,4971,2888.5843880708153
Female,39-45,High School,Other,Twitter,Business,Animation,105,117.88984650984386,168,252,45,56,29,1783.5969864016151,197.9182532689686,60.33174468894399,27946.693290655618,5051,2805.3661016207375
Female,39-45,MD,Science,TikTok,Personal,Animation,94,93.04900536217309,193,241,53,46,27,2347.849705598,229.80962084758661,69.48257054559151,34173.04894688257,5175,2847.890494452585
Female,<12,Bachelor,Engineering,TikTok,Non-Profit,Singing,103,129.0133817928833,210,243,56,67,23,1574.0632334735099,237.48712772068382,37.49098380089979,60911.86599648792,4885,1466.5282548109901
Female,39-45,None,Social Sciences,Facebook,Influencer,Art-Drawing,104,144.72690077058206,208,234,59,58,21,1026.1352110155883,408.9199427043226,43.043800651148054,21799.946673910505,4978,2781.2913955303625
Male,51+,MD,Social Sciences,YouTube,Personal,Travel,104,70.43709615984818,207,239,55,73,37,1899.9828152530313,238.13580179704715,20.76820829644568,22904.0147998298,4911,4131.08128091127
Male,39-45,None,Social Sciences,Twitter,Personal,Other,91,99.34222040204588,195,257,58,67,31,1668.8171347073649,96.58865727201712,94.80525429208718,39916.0370936744,5218,2977.3469584809036
Female,20-26,High School,Business,Facebook,Other,Educational,90,125.04141507540811,214,240,36,51,26,1404.8142669565357,329.1692017390098,94.65570203865744,39029.98428753598,4969,1612.289420248379
Female,39-45,None,Arts,YouTube,Other,Other,105,49.58050076359757,187,244,50,52,23,1299.7626303393204,362.3608617533388,81.77512472399042,24849.024317309595,5085,1420.0098980429352
Male,<12,High School,Social Sciences,Other,Other,Handmade Craft,97,172.20793301138755,185,249,61,63,37,1190.8817877465892,396.8765602147832,93.55551191991839,32777.294442572376,5067,2113.9207438651324
